Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
LD1014D_370, LD1014D_370, 1.5, 1.833, nan, 2.23, 1.032, 2.161, 40.44
LD1014D_370, LD1014D_370, 1.5, 2.167, nan, 2.23, 1.032, 2.161, 40.44
LD1014D_370, LD1014D_370, 1.5, 2.5, nan, 2.23, 1.032, 2.161, 40.44
LD1014D_371, LD1014D_371, 1.5, 1.5, -0.6, 3.458, 1.111, 3.114, 40.12
LD1014D_371, LD1014D_371, 1.5, 1.833, -0.6, 3.458, 1.111, 3.114, 40.12
LD1014D_371, LD1014D_371, 1.5, 2.167, nan, 3.458, 1.111, 3.114, 40.12
LD1014D_371, LD1014D_371, 1.5, 2.5, nan, 3.458, 1.111, 3.114, 40.12
LD1014D_372, LD1014D_372, 1.5, 1.5, -0.6222, 3.736, 1.516, 2.465, 40
LD1014D_372, LD1014D_372, 1.5, 1.833, -0.6, 3.663, 1.655, 2.214, 40
LD1014D_372, LD1014D_372, 1.5, 2.167, -0.6, 3.663, 1.655, 2.214, 40
LD1014D_372, LD1014D_372, 1.5, 2.5, nan, 3.663, 1.655, 2.214, 40
LD1014D_373, LD1014D_373, 1.5, 1.5, -0.8134, 8.469, 1.742, 4.861, 40
LD1014D_373, LD1014D_373, 1.5, 1.833, -0.7747, 8.457, 1.906, 4.437, 40
LD1014D_373, LD1014D_373, 1.5, 2.167, -0.732, 8.448, 2.054, 4.113, 40
LD1014D_373, LD1014D_373, 1.5, 2.5, -0.6969, 8.439, 2.218, 3.805, 40
LD1014D_374, LD1014D_374, 1.5, 1.5, -0.8514, 8.607, 1.382, 6.228, 40
LD1014D_374, LD1014D_374, 1.5, 1.833, -0.82, 8.658, 1.451, 5.966, 40
LD1014D_374, LD1014D_374, 1.5, 2.167, -0.7846, 8.718, 1.53, 5.699, 40
LD1014D_374, LD1014D_374, 1.5, 2.5, -0.7419, 8.776, 1.602, 5.478, 40
LD1014D_376, LD1014D_376, 1.5, 1.5, -0.6, 2.785, 1.522, 1.83, 40
LD1014D_376, LD1014D_376, 1.5, 1.833, -0.6, 2.785, 1.522, 1.83, 40
LD1014D_376, LD1014D_376, 1.5, 2.167, nan, 2.785, 1.522, 1.83, 40
LD1014D_376, LD1014D_376, 1.5, 2.5, nan, 2.785, 1.522, 1.83, 40
LD1014D_377, LD1014D_377, 1.5, 1.5, -0.8407, 8.592, 1.328, 6.472, 40
LD1014D_377, LD1014D_377, 1.5, 1.833, -0.8089, 8.656, 1.417, 6.107, 40
LD1014D_377, LD1014D_377, 1.5, 2.167, -0.7696, 8.718, 1.5, 5.813, 40
LD1014D_377, LD1014D_377, 1.5, 2.5, -0.728, 8.791, 1.593, 5.519, 40
LD1014D_378, LD1014D_378, 1.5, 1.5, -0.9985, 8.603, 1.601, 5.374, 39.94
LD1014D_378, LD1014D_378, 1.5, 1.833, -0.949, 8.712, 1.649, 5.285, 39.94
LD1014D_378, LD1014D_378, 1.5, 2.167, -0.8995, 8.796, 1.691, 5.201, 39.94
LD1014D_378, LD1014D_378, 1.5, 2.5, -0.8572, 8.867, 1.739, 5.098, 39.94
LD1014D_379, LD1014D_379, 1.5, 1.5, -0.7963, 8.062, 1.728, 4.665, 40
LD1014D_379, LD1014D_379, 1.5, 1.833, -0.7501, 8.049, 1.899, 4.239, 40
LD1014D_379, LD1014D_379, 1.5, 2.167, -0.7087, 8.038, 2.069, 3.884, 40
