Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Vg (V-RMS), delta-Vg mean subtracted (V-RMS)
6C33C_B, 6C33C_B, 6C33C_J, 6C33C_J, 25, 175, 0.01, 0.3, 6.093, 4.431
6C33C_B, 6C33C_B, 6C33C_K, 6C33C_K, 25, 175, 0.01, 0.3, 3.069, 2.927
6C33C_B, 6C33C_B, 6C33C_L, 6C33C_L, 25, 175, 0.01, 0.3, 3.686, 2.654
6C33C_B, 6C33C_B, 6C33C_M, 6C33C_M, 25, 175, 0.01, 0.3, 3.501, 2.828
6C33C_B, 6C33C_B, 6C33C_N, 6C33C_N, 25, 175, 0.01, 0.3, 2.911, 2.894
6C33C_B, 6C33C_B, 6C33C_O, 6C33C_O, 25, 175, 0.01, 0.3, 3.703, 3.702
6C33C_B, 6C33C_B, 6C33C_P, 6C33C_P, 25, 175, 0.01, 0.3, 4.713, 4.698
6C33C_B, 6C33C_B, 6C33C_P_AGAIN, 6C33C_P_AGAIN, 25, 175, 0.01, 0.3, 2.945, 2.848
6C33C_B, 6C33C_B, 6C33C_P_Vg90V, 6C33C_P_Vg90V, 25, 175, 0.01, 0.3, 8.695, 8.302
6C33C_C, 6C33C_C, 6C33C_C_AGAIN, 6C33C_C_AGAIN, 25, 175, 0.01, 0.3, 4.924, 4.922
6C33C_C, 6C33C_C, 6C33C_D, 6C33C_D, 25, 175, 0.01, 0.3, 4.147, 4.084
6C33C_C, 6C33C_C, 6C33C_E, 6C33C_E, 25, 175, 0.01, 0.3, 3.841, 3.682
6C33C_C, 6C33C_C, 6C33C_F, 6C33C_F, 25, 175, 0.01, 0.3, 5.837, 5.369
6C33C_C, 6C33C_C, 6C33C_G, 6C33C_G, 25, 175, 0.01, 0.3, 4.716, 4.702
6C33C_C, 6C33C_C, 6C33C_H, 6C33C_H, 25, 175, 0.01, 0.3, 4.172, 4.166
6C33C_C, 6C33C_C, 6C33C_I, 6C33C_I, 25, 175, 0.01, 0.3, 3.705, 3.684
6C33C_C, 6C33C_C, 6C33C_J, 6C33C_J, 25, 175, 0.01, 0.3, 5.578, 4.975
6C33C_C, 6C33C_C, 6C33C_K, 6C33C_K, 25, 175, 0.01, 0.3, 4.985, 4.382
6C33C_C, 6C33C_C, 6C33C_L, 6C33C_L, 25, 175, 0.01, 0.3, 3.633, 3.502
6C33C_C, 6C33C_C, 6C33C_M, 6C33C_M, 25, 175, 0.01, 0.3, 3.579, 3.559
6C33C_C, 6C33C_C, 6C33C_N, 6C33C_N, 25, 175, 0.01, 0.3, 4.371, 4.171
6C33C_C, 6C33C_C, 6C33C_O, 6C33C_O, 25, 175, 0.01, 0.3, 4.777, 4.552
6C33C_C, 6C33C_C, 6C33C_P, 6C33C_P, 25, 175, 0.01, 0.3, 5.505, 5.361
6C33C_C, 6C33C_C, 6C33C_P_AGAIN, 6C33C_P_AGAIN, 25, 175, 0.01, 0.3, 3.57, 3.458
6C33C_C, 6C33C_C, 6C33C_P_Vg90V, 6C33C_P_Vg90V, 25, 175, 0.01, 0.3, 8.455, 7.316
6C33C_C_AGAIN, 6C33C_C_AGAIN, 6C33C_D, 6C33C_D, 25, 175, 0.01, 0.3, 4.39, 4.28
6C33C_C_AGAIN, 6C33C_C_AGAIN, 6C33C_E, 6C33C_E, 25, 175, 0.01, 0.3, 4.421, 4.265
6C33C_C_AGAIN, 6C33C_C_AGAIN, 6C33C_F, 6C33C_F, 25, 175, 0.01, 0.3, 4.03, 3.254
6C33C_C_AGAIN, 6C33C_C_AGAIN, 6C33C_G, 6C33C_G, 25, 175, 0.01, 0.3, 2.983, 2.944
6C33C_C_AGAIN, 6C33C_C_AGAIN, 6C33C_H, 6C33C_H, 25, 175, 0.01, 0.3, 3.886, 3.864
6C33C_C_AGAIN, 6C33C_C_AGAIN, 6C33C_I, 6C33C_I, 25, 175, 0.01, 0.3, 3.627, 3.615
6C33C_C_AGAIN, 6C33C_C_AGAIN, 6C33C_J, 6C33C_J, 25, 175, 0.01, 0.3, 5.322, 4.743
6C33C_C_AGAIN, 6C33C_C_AGAIN, 6C33C_K, 6C33C_K, 25, 175, 0.01, 0.3, 5.178, 4.505
6C33C_C_AGAIN, 6C33C_C_AGAIN, 6C33C_L, 6C33C_L, 25, 175, 0.01, 0.3, 4.116, 4.02
6C33C_C_AGAIN, 6C33C_C_AGAIN, 6C33C_M, 6C33C_M, 25, 175, 0.01, 0.3, 3.492, 3.484
6C33C_C_AGAIN, 6C33C_C_AGAIN, 6C33C_N, 6C33C_N, 25, 175, 0.01, 0.3, 4.693, 4.486
6C33C_C_AGAIN, 6C33C_C_AGAIN, 6C33C_O, 6C33C_O, 25, 175, 0.01, 0.3, 5.092, 4.811
6C33C_C_AGAIN, 6C33C_C_AGAIN, 6C33C_P, 6C33C_P, 25, 175, 0.01, 0.3, 5.662, 5.497
6C33C_C_AGAIN, 6C33C_C_AGAIN, 6C33C_P_AGAIN, 6C33C_P_AGAIN, 25, 175, 0.01, 0.3, 5.793, 5.708
